"filename", "language", "Markdown", "JavaScript", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\361\Documents\GitHub\WebAppProj1\CSS\boss.css", "CSS", 0, 0, 0, 73, 0, 12, 85
"c:\Users\361\Documents\GitHub\WebAppProj1\CSS\classic.css", "CSS", 0, 0, 0, 72, 0, 12, 84
"c:\Users\361\Documents\GitHub\WebAppProj1\CSS\index.css", "CSS", 0, 0, 0, 83, 0, 20, 103
"c:\Users\361\Documents\GitHub\WebAppProj1\CSS\leaderboard.css", "CSS", 0, 0, 0, 63, 0, 9, 72
"c:\Users\361\Documents\GitHub\WebAppProj1\CSS\loginRegister.css", "CSS", 0, 0, 0, 76, 0, 10, 86
"c:\Users\361\Documents\GitHub\WebAppProj1\HTML\asteroid.html", "HTML", 0, 0, 32, 0, 0, 2, 34
"c:\Users\361\Documents\GitHub\WebAppProj1\HTML\asteroidLB.html", "HTML", 0, 0, 27, 0, 0, 2, 29
"c:\Users\361\Documents\GitHub\WebAppProj1\HTML\boss.html", "HTML", 0, 0, 34, 0, 0, 2, 36
"c:\Users\361\Documents\GitHub\WebAppProj1\HTML\bossLB.html", "HTML", 0, 0, 27, 0, 0, 2, 29
"c:\Users\361\Documents\GitHub\WebAppProj1\HTML\challenge.html", "HTML", 0, 0, 34, 0, 0, 2, 36
"c:\Users\361\Documents\GitHub\WebAppProj1\HTML\challengeLB.html", "HTML", 0, 0, 27, 0, 0, 2, 29
"c:\Users\361\Documents\GitHub\WebAppProj1\HTML\classic.html", "HTML", 0, 0, 32, 0, 0, 2, 34
"c:\Users\361\Documents\GitHub\WebAppProj1\HTML\classicLB.html", "HTML", 0, 0, 27, 0, 0, 2, 29
"c:\Users\361\Documents\GitHub\WebAppProj1\HTML\howToPlay.html", "HTML", 0, 0, 41, 0, 0, 8, 49
"c:\Users\361\Documents\GitHub\WebAppProj1\HTML\index.html", "HTML", 0, 0, 33, 0, 0, 1, 34
"c:\Users\361\Documents\GitHub\WebAppProj1\HTML\login.html", "HTML", 0, 0, 31, 0, 0, 5, 36
"c:\Users\361\Documents\GitHub\WebAppProj1\HTML\register.html", "HTML", 0, 0, 32, 0, 0, 6, 38
"c:\Users\361\Documents\GitHub\WebAppProj1\JS\asteroid.js", "JavaScript", 0, 2, 0, 0, 0, 0, 2
"c:\Users\361\Documents\GitHub\WebAppProj1\JS\asteroidGame.js", "JavaScript", 0, 185, 0, 0, 0, 40, 225
"c:\Users\361\Documents\GitHub\WebAppProj1\JS\asteroidLB.js", "JavaScript", 0, 66, 0, 0, 0, 11, 77
"c:\Users\361\Documents\GitHub\WebAppProj1\JS\boss.js", "JavaScript", 0, 2, 0, 0, 0, 0, 2
"c:\Users\361\Documents\GitHub\WebAppProj1\JS\bossGame.js", "JavaScript", 0, 269, 0, 0, 0, 50, 319
"c:\Users\361\Documents\GitHub\WebAppProj1\JS\bossLB.js", "JavaScript", 0, 66, 0, 0, 0, 11, 77
"c:\Users\361\Documents\GitHub\WebAppProj1\JS\challenge.js", "JavaScript", 0, 2, 0, 0, 0, 1, 3
"c:\Users\361\Documents\GitHub\WebAppProj1\JS\challengeGame.js", "JavaScript", 0, 324, 0, 0, 0, 58, 382
"c:\Users\361\Documents\GitHub\WebAppProj1\JS\challengeLB.js", "JavaScript", 0, 67, 0, 0, 0, 8, 75
"c:\Users\361\Documents\GitHub\WebAppProj1\JS\classic.js", "JavaScript", 0, 2, 0, 0, 0, 2, 4
"c:\Users\361\Documents\GitHub\WebAppProj1\JS\classicGame.js", "JavaScript", 0, 205, 0, 0, 0, 37, 242
"c:\Users\361\Documents\GitHub\WebAppProj1\JS\classicLB.js", "JavaScript", 0, 66, 0, 0, 0, 11, 77
"c:\Users\361\Documents\GitHub\WebAppProj1\JS\gameAssets.js", "JavaScript", 0, 76, 0, 0, 0, 7, 83
"c:\Users\361\Documents\GitHub\WebAppProj1\JS\howToPlay.js", "JavaScript", 0, 38, 0, 0, 0, 7, 45
"c:\Users\361\Documents\GitHub\WebAppProj1\JS\index.js", "JavaScript", 0, 54, 0, 0, 0, 11, 65
"c:\Users\361\Documents\GitHub\WebAppProj1\JS\login.js", "JavaScript", 0, 27, 0, 0, 0, 6, 33
"c:\Users\361\Documents\GitHub\WebAppProj1\JS\register.js", "JavaScript", 0, 51, 0, 0, 0, 8, 59
"c:\Users\361\Documents\GitHub\WebAppProj1\README.md", "Markdown", 2, 0, 0, 0, 0, 1, 3
"Total", "-", 2, 1502, 377, 367, 0, 368, 2616
